Count;Course;Event;Cod;Gender;Date;Time;Athlete;Country;Meet;City;Nation;Type;Birthday;days;Age
1591;LCM;100m butterfly;8;Men;14/09/1958;1:01.0;ISHIMOTO, Takashi;JPN;;Kochi;JPN;Individual;06/04/1935;8562 ;23 years, 161 days
1592;LCM;100m butterfly;8;Men;26/06/1960;59.0;LARSON, Lance;USA;;Los Angeles, California;USA;Individual;03/07/1940;7298 ;19 years, 359 days
1593;LCM;100m butterfly;8;Men;24/07/1960;58.7;LARSON, Lance;USA;;Toledo, Ohio;USA;Individual;03/07/1940;7326 ;20 years, 21 days
1594;LCM;100m butterfly;8;Men;20/08/1961;58.6;SCHMIDT, Fred;USA;Men's NAAA Championships;Los Angeles, California;USA;Individual;23/10/1943;6511 ;17 years, 301 days
1595;LCM;100m butterfly;8;Men;24/04/1962;58.4;NICOLAO, Luis;ARG;;Rio de Janeiro;BRA;Individual;28/06/1944;6509 ;17 years, 300 days
1596;LCM;100m butterfly;8;Men;27/04/1962;57.0;NICOLAO, Luis;ARG;;Rio de Janeiro;BRA;Individual;28/06/1944;6512 ;17 years, 303 days
1597;LCM;100m butterfly;8;Men;31/07/1967;56.29;SPITZ, Mark;USA;Pan American Games;Winnipeg, Manitoba;CAN;Individual;10/02/1950;6380 ;17 years, 171 days
1598;LCM;100m butterfly;8;Men;29/08/1967;56.3;RUSSELL, Douglas Albert;USA;World University Games;Tokyo;JPN;Individual;20/02/1946;7860 ;21 years, 190 days
1599;LCM;100m butterfly;8;Men;07/10/1967;55.7;SPITZ, Mark;USA;;Berlin;FRG;Individual;10/02/1950;6448 ;17 years, 239 days
1600;LCM;100m butterfly;8;Men;30/08/1968;55.6;SPITZ, Mark;USA;USA Olympic Trials;Long Beach, California;USA;Individual;10/02/1950;6776 ;18 years, 202 days
1601;LCM;100m butterfly;8;Men;25/08/1971;55.0;SPITZ, Mark;USA;AAU Championships;Houston, Texas;USA;Individual;10/02/1950;7866 ;21 years, 196 days
1602;LCM;100m butterfly;8;Men;04/08/1972;54.72;SPITZ, Mark;USA;USA Olympic Trials;Chicago, Illinois;USA;Individual;10/02/1950;8211 ;22 years, 176 days
1603;LCM;100m butterfly;8;Men;04/08/1972;54.56;SPITZ, Mark;USA;USA Olympic Trials;Chicago, Illinois;USA;Individual;10/02/1950;8211 ;22 years, 176 days
1604;LCM;100m butterfly;8;Men;31/08/1972;54.27;SPITZ, Mark;USA;Olympic Games;M nchen, Bavaria;FRG;Individual;10/02/1950;8238 ;22 years, 203 days
1605;LCM;100m butterfly;8;Men;27/08/1977;54.18;BOTTOM, Joe;USA;USA v GDR Dual Meet;Berlin;GDR;Individual;18/04/1955;8167 ;22 years, 131 days
1606;LCM;100m butterfly;8;Men;11/04/1980;54.15;ARVIDSSON, Par;SWE;USA Spring Nationals;Austin, Texas;USA;Individual;27/02/1960;7349 ;20 years, 44 days
1607;LCM;100m butterfly;8;Men;03/04/1981;53.81;PAULUS, William;USA;Longhorn Invitational;Austin, Texas;USA;Individual;;;
1608;LCM;100m butterfly;8;Men;06/08/1983;53.44;GRIBBLE, Matt;USA;USA Nationals;Clovis, California;USA;Individual;28/03/1962;7801 ;21 years, 131 days
1609;LCM;100m butterfly;8;Men;26/06/1984;53.38;MORALES, Pablo;USA;USA Olympic Trials;Indianapolis, Indiana;USA;Individual;05/12/1964;7143 ;19 years, 204 days
1610;LCM;100m butterfly;8;Men;30/07/1984;53.08;GROSS, Michael;GER;Olympic Games;Los Angeles, California;USA;Individual;17/06/1964;7348 ;20 years, 43 days
1611;LCM;100m butterfly;8;Men;23/06/1986;52.84;MORALES, Pablo;USA;USA World Championship Trials;Orlando, Florida;USA;Individual;05/12/1964;7870 ;21 years, 200 days
1612;LCM;100m butterfly;8;Men;23/08/1995;52.32;PANKRATOV, Denis;RUS;;Wien (Vienna);AUT;Individual;04/07/1974;7720 ;21 years, 50 days
1613;LCM;100m butterfly;8;Men;24/07/1996;52.27;PANKRATOV, Denis;RUS;Olympic Games;Atlanta, Georgia;USA;Individual;04/07/1974;8056 ;22 years, 20 days
1614;LCM;100m butterfly;8;Men;09/10/1997;52.15;KLIM, Michael;AUS;;Brisbane, Queensland;AUS;Individual;13/08/1977;7362 ;20 years, 57 days
1615;LCM;100m butterfly;8;Men;10/12/1999;52.03;KLIM, Michael;AUS;;Canberra;AUS;Individual;13/08/1977;8154 ;22 years, 119 days
1616;LCM;100m butterfly;8;Men;12/12/1999;51.81;KLIM, Michael;AUS;;Canberra;AUS;Individual;13/08/1977;8156 ;22 years, 121 days
1617;LCM;100m butterfly;8;Men;25/07/2003;51.76;SERDINOV, Andriy;UKR;World Championships;Barcelona;ESP;Individual;17/11/1982;7555 ;20 years, 250 days
1618;LCM;100m butterfly;8;Men;25/07/2003;51.47;PHELPS, Michael;USA;World Championships;Barcelona;ESP;Individual;30/06/1985;6599 ;18 years, 25 days
1619;LCM;100m butterfly;8;Men;26/07/2003;50.98;CROCKER, Ian;USA;World Championships;Barcelona;ESP;Individual;31/08/1982;7634 ;20 years, 329 days
1620;LCM;100m butterfly;8;Men;13/07/2004;50.76;CROCKER, Ian;USA;USA Olympic Trials;Long Beach, California;USA;Individual;31/08/1982;7987 ;21 years, 317 days
1621;LCM;100m butterfly;8;Men;30/07/2005;50.40;CROCKER, Ian;USA;World Championships;Montr al, Qu bec;CAN;Individual;31/08/1982;8369 ;22 years, 333 days
1622;LCM;100m butterfly;8;Men;09/07/2009;50.22;PHELPS, Michael;USA;USA Nationals;Indianapolis, Indiana;USA;Individual;30/06/1985;8775 ;24 years, 9 days
1623;LCM;100m butterfly;8;Men;31/07/2009;50.01;CAVIC, Milorad;SRB;World Championships;Roma, Lazio;ITA;Individual;31/05/1984;9192 ;25 years, 61 days
1624;LCM;100m butterfly;8;Men;01/08/2009;49.82;PHELPS, Michael;USA;World Championships;Roma, Lazio;ITA;Individual;30/06/1985;8798 ;24 years, 32 days
1625;LCM;100m butterfly;8;Men;26/07/2019;49.50;DRESSEL, Caeleb;USA;World Championships;Gwangju;KOR;Individual;16/08/1996;8379 ;22 years, 344 days
1626;LCM;100m butterfly;8;Men;31/07/2021;49.45;DRESSEL, Caeleb;USA;Olympic Games;Tokyo;JPN;Individual;16/08/1996;9115 ;24 years, 349 days
1627;LCM;200m butterfly;9;Men;17/09/1954;2:21.6;NAGASAWA, Jiro;JPN;;Tokyo;JPN;Individual;02/02/1932;8263 ;22 years, 227 days
1628;LCM;200m butterfly;9;Men;01/10/1955;2:20.8;ISHIMOTO, Takashi;JPN;;Tokyo;JPN;Individual;06/04/1935;7483 ;20 years, 178 days
1629;LCM;200m butterfly;9;Men;14/03/1956;2:19.3;NAGASAWA, Jiro;JPN;;New Haven, Connecticut;USA;Individual;02/02/1932;8807 ;24 years, 41 days
1630;LCM;200m butterfly;9;Men;14/04/1956;2:16.7;YORZYK, William;USA;;Winchendon;USA;Individual;29/05/1933;8356 ;22 years, 321 days
1631;LCM;200m butterfly;9;Men;10/07/1959;2:15.0;TROY, Mike;USA;;Evansville, Indiana;USA;Individual;03/10/1940;6854 ;18 years, 280 days
1632;LCM;200m butterfly;9;Men;11/07/1959;2:19.0;TROY, Mike;USA;;Los Altos, California;USA;Individual;03/10/1940;6855 ;18 years, 281 days
1633;LCM;200m butterfly;9;Men;11/07/1959;2:16.4;TROY, Mike;USA;;Los Altos, California;USA;Individual;03/10/1940;6855 ;18 years, 281 days
1634;LCM;200m butterfly;9;Men;10/07/1960;2:15.0;TROY, Mike;USA;;Evansville, Indiana;USA;Individual;03/10/1940;7220 ;19 years, 281 days
1635;LCM;200m butterfly;9;Men;23/07/1960;2:13.4;TROY, Mike;USA;;Toledo, Ohio;USA;Individual;03/10/1940;7233 ;19 years, 294 days
1636;LCM;200m butterfly;9;Men;04/08/1960;2:13.2;TROY, Mike;USA;;Detroit, Michigan;USA;Individual;03/10/1940;7245 ;19 years, 306 days
1637;LCM;200m butterfly;9;Men;02/09/1960;2:12.8;TROY, Mike;USA;Olympic Games;Roma, Lazio;ITA;Individual;03/10/1940;7274 ;19 years, 335 days
1638;LCM;200m butterfly;9;Men;19/08/1961;2:12.6;ROBIE, Carl;USA;Men's NAAA Championships;Los Angeles, California;USA;Individual;12/05/1945;5943 ;16 years, 99 days
1639;LCM;200m butterfly;9;Men;20/02/1962;2:12.5;BERRY, Kevin;AUS;;Melbourne, Victoria;AUS;Individual;10/04/1945;6160 ;16 years, 316 days
1640;LCM;200m butterfly;9;Men;11/08/1962;2:12.4;ROBIE, Carl;USA;AAU Championships;Cuyahoga Falls, Ohio;USA;Individual;12/05/1945;6300 ;17 years, 91 days
1641;LCM;200m butterfly;9;Men;11/08/1962;2:10.8;ROBIE, Carl;USA;AAU Championships;Cuyahoga Falls, Ohio;USA;Individual;12/05/1945;6300 ;17 years, 91 days
1642;LCM;200m butterfly;9;Men;23/10/1962;2:09.7;BERRY, Kevin;AUS;Australian British Empire & Commonwealth Games Trials;Melbourne, Victoria;AUS;Individual;10/04/1945;6405 ;17 years, 196 days
1643;LCM;200m butterfly;9;Men;12/01/1963;2:08.4;BERRY, Kevin;AUS;;Sydney, New South Wales;AUS;Individual;10/04/1945;6486 ;17 years, 277 days
1644;LCM;200m butterfly;9;Men;18/03/1963;2:08.2;ROBIE, Carl;USA;;Tokyo;JPN;Individual;12/05/1945;6519 ;17 years, 310 days
1645;LCM;200m butterfly;9;Men;29/03/1964;2:06.9;BERRY, Kevin;AUS;;Sydney, New South Wales;AUS;Individual;10/04/1945;6928 ;18 years, 354 days
1646;LCM;200m butterfly;9;Men;18/10/1964;2:06.6;BERRY, Kevin;AUS;Olympic Games;Tokyo;JPN;Individual;10/04/1945;7131 ;19 years, 191 days
1647;LCM;200m butterfly;9;Men;26/07/1967;2:06.4;SPITZ, Mark;USA;Pan American Games;Winnipeg, Manitoba;CAN;Individual;10/02/1950;6375 ;17 years, 166 days
1648;LCM;200m butterfly;9;Men;12/08/1967;2:06.4;SPITZ, Mark;USA;;Oak Park, California;USA;Individual;10/02/1950;6392 ;17 years, 183 days
1649;LCM;200m butterfly;9;Men;30/08/1967;2:06.0;FERRIS, John;USA;World University Games;Tokyo;JPN;Individual;24/07/1949;6611 ;18 years, 37 days
1650;LCM;200m butterfly;9;Men;08/10/1967;2:05.7;SPITZ, Mark;USA;;Berlin;FRG;Individual;10/02/1950;6449 ;17 years, 240 days
1651;LCM;200m butterfly;9;Men;22/08/1970;2:05.4;SPITZ, Mark;USA;AAU Championships;Los Angeles, California;USA;Individual;10/02/1950;7498 ;20 years, 193 days
1652;LCM;200m butterfly;9;Men;22/08/1970;2:05.0;HALL Sr., Gary;USA;AAU Championships;Los Angeles, California;USA;Individual;07/08/1951;6955 ;19 years, 15 days
1653;LCM;200m butterfly;9;Men;27/08/1971;2:03.9;SPITZ, Mark;USA;AAU Championships;Houston, Texas;USA;Individual;10/02/1950;7868 ;21 years, 198 days
1654;LCM;200m butterfly;9;Men;27/08/1971;2:03.9;SPITZ, Mark;USA;AAU Championships;Houston, Texas;USA;Individual;10/02/1950;7868 ;21 years, 198 days
1655;LCM;200m butterfly;9;Men;31/08/1971;2:03.3;FASSNACHT, Hans-Joachim;GER;;Landskrona;SWE;Individual;28/11/1950;7581 ;20 years, 276 days
1656;LCM;200m butterfly;9;Men;02/08/1972;2:01.87;SPITZ, Mark;USA;USA Olympic Trials;Chicago, Illinois;USA;Individual;10/02/1950;8209 ;22 years, 174 days
1657;LCM;200m butterfly;9;Men;02/08/1972;2:01.53;SPITZ, Mark;USA;USA Olympic Trials;Chicago, Illinois;USA;Individual;10/02/1950;8209 ;22 years, 174 days
1658;LCM;200m butterfly;9;Men;28/08/1972;2:00.70;SPITZ, Mark;USA;Olympic Games;M nchen, Bavaria;FRG;Individual;10/02/1950;8235 ;22 years, 200 days
1659;LCM;200m butterfly;9;Men;03/06/1976;2:00.21;PYTTEL, Roger;GDR;GDR Olympic Trials;Berlin;GDR;Individual;08/05/1957;6966 ;19 years, 26 days
1660;LCM;200m butterfly;9;Men;03/06/1976;1:59.63;PYTTEL, Roger;GDR;GDR Olympic Trials;Berlin;GDR;Individual;08/05/1957;6966 ;19 years, 26 days
1661;LCM;200m butterfly;9;Men;18/07/1976;1:59.23;BRUNER, Mike;USA;Olympic Games;Montr al, Qu bec;CAN;Individual;23/07/1956;7300 ;19 years, 361 days
1662;LCM;200m butterfly;9;Men;30/07/1980;1:58.21;BEARDSLEY, Craig;USA;;Irvine, California;USA;Individual;14/12/1960;7168 ;19 years, 229 days
1663;LCM;200m butterfly;9;Men;22/08/1981;1:58.01;BEARDSLEY, Craig;USA;;Kiev;URS;Individual;14/12/1960;7556 ;20 years, 251 days
1664;LCM;200m butterfly;9;Men;26/08/1983;1:57.05;GROSS, Michael;GER;European Championships;Roma, Lazio;ITA;Individual;17/06/1964;7009 ;19 years, 70 days
1665;LCM;200m butterfly;9;Men;03/08/1984;1:57.04;SIEBEN, Jon;AUS;Olympic Games;Los Angeles, California;USA;Individual;24/08/1966;6554 ;17 years, 345 days
1666;LCM;200m butterfly;9;Men;29/06/1985;1:57.01;GROSS, Michael;GER;FRG Nationals & European Championship Trials;Wuppertal;FRG;Individual;17/06/1964;7682 ;21 years, 12 days
1667;LCM;200m butterfly;9;Men;10/08/1985;1:56.65;GROSS, Michael;GER;;Sofia;BUL;Individual;17/06/1964;7724 ;21 years, 54 days
1668;LCM;200m butterfly;9;Men;28/06/1986;1:56.24;GROSS, Michael;GER;;Hannover;FRG;Individual;17/06/1964;8046 ;22 years, 11 days
1669;LCM;200m butterfly;9;Men;12/01/1991;1:55.69;STEWART, Mel;USA;World Championships;Perth, Western Australia;AUS;Individual;16/11/1968;8092 ;22 years, 57 days
1670;LCM;200m butterfly;9;Men;14/06/1995;1:55.22;PANKRATOV, Denis;RUS;;Canet-en-Roussillon;FRA;Individual;04/07/1974;7650 ;20 years, 345 days
1671;LCM;200m butterfly;9;Men;17/06/2000;1:55.18;MALCHOW, Tom;USA;;Charlotte, North Carolina;USA;Individual;18/08/1976;8704 ;23 years, 304 days
1672;LCM;200m butterfly;9;Men;30/03/2001;1:54.92;PHELPS, Michael;USA;USA Nationals & World Championship Trials;Austin, Texas;USA;Individual;30/06/1985;5752 ;15 years, 273 days
1673;LCM;200m butterfly;9;Men;24/07/2001;1:54.58;PHELPS, Michael;USA;World Championships;Fukuoka, Fukuoka;JPN;Individual;30/06/1985;5868 ;16 years, 24 days
1674;LCM;200m butterfly;9;Men;22/07/2003;1:53.93;PHELPS, Michael;USA;World Championships;Barcelona;ESP;Individual;30/06/1985;6596 ;18 years, 22 days
1675;LCM;200m butterfly;9;Men;17/08/2006;1:53.80;PHELPS, Michael;USA;Pan Pacific Championships;Victoria, British Columbia;CAN;Individual;30/06/1985;7718 ;21 years, 48 days
1676;LCM;200m butterfly;9;Men;17/02/2007;1:53.71;PHELPS, Michael;USA;USA Grand Prix Meet;Columbia, Missouri;USA;Individual;30/06/1985;7902 ;21 years, 232 days
1677;LCM;200m butterfly;9;Men;28/03/2007;1:52.09;PHELPS, Michael;USA;World Championships;Melbourne, Victoria;AUS;Individual;30/06/1985;7941 ;21 years, 271 days
1678;LCM;200m butterfly;9;Men;13/08/2008;1:52.03;PHELPS, Michael;USA;Olympic Games;Beijing;CHN;Individual;30/06/1985;8445 ;23 years, 44 days
1679;LCM;200m butterfly;9;Men;21/07/2009;1:51.51;PHELPS, Michael;USA;World Championships;Roma, Lazio;ITA;Individual;30/06/1985;8787 ;24 years, 21 days
1680;LCM;200m butterfly;9;Men;24/07/2019;1:50.73;MILAK, Kristof;HUN;World Championships;Gwangju;KOR;Individual;20/02/2000;7094 ;19 years, 154 days
1681;LCM;200m butterfly;9;Men;21/06/2022;1:50.34;MILAK, Kristof;HUN;World Championships;Budapest;HUN;Individual;20/02/2000;8157 ;22 years, 121 days
1682;LCM;50m backstroke;10;Men;28/08/1999;24.99;KRAYZELBURG, Lenny;USA;Pan Pacific Championships;Sydney, New South Wales;AUS;Individual;28/09/1975;8735 ;23 years, 334 days
1683;LCM;50m backstroke;10;Men;27/07/2003;24.80;RUPPRATH, Thomas;GER;World Championships;Barcelona;ESP;Individual;16/03/1977;9629 ;26 years, 133 days
1684;LCM;50m backstroke;10;Men;02/04/2008;24.47;TANCOCK, Liam;GBR;British Championships;Sheffield, South Yorkshire, England;GBR;Individual;07/05/1985;8366 ;22 years, 331 days
1685;LCM;50m backstroke;10;Men;05/12/2008;24.33;BAL, Randall;USA;Dutch Swimming Cup;Eindhoven;NED;Individual;14/11/1980;10248 ;28 years, 21 days
1686;LCM;50m backstroke;10;Men;01/08/2009;24.08;TANCOCK, Liam;GBR;World Championships;Roma, Lazio;ITA;Individual;07/05/1985;8852 ;24 years, 86 days
1687;LCM;50m backstroke;10;Men;02/08/2009;24.04;TANCOCK, Liam;GBR;World Championships;Roma, Lazio;ITA;Individual;07/05/1985;8853 ;24 years, 87 days
1688;LCM;50m backstroke;10;Men;04/08/2018;24.00;KOLESNIKOV, Kliment;RUS;European Championships;Glasgow, Scotland;GBR;Individual;09/07/2000;6600 ;18 years, 26 days
1689;LCM;50m backstroke;10;Men;17/05/2021;23.93;KOLESNIKOV, Kliment;RUS;European Championships;Budapest;HUN;Individual;09/07/2000;7617 ;20 years, 312 days
1690;LCM;50m backstroke;10;Men;18/05/2021;23.80;KOLESNIKOV, Kliment;RUS;European Championships;Budapest;HUN;Individual;09/07/2000;7618 ;20 years, 313 days
1691;LCM;50m backstroke;10;Men;28/04/2022;23.71;ARMSTRONG, Hunter;USA;USA International Team Trials;Greensboro;USA;Individual;24/01/2001;7764 ;21 years, 94 days
1692;LCM;50m backstroke;10;Men;27/07/2023;23.55;KOLESNIKOV, Kliment;RUS;Russian Swimming Cup;Kazan;RUS;Individual;09/07/2000;8418 ;23 years, 18 days
1693;LCM;100m backstroke;11;Men;02/10/1910;1:20.8;WECHESSER, Maurice;BEL;;Schaerbeck;;Individual;;;
1694;LCM;100m backstroke;11;Men;17/07/1911;1:18.8;BARONYI, Andras;HUN;;Budapest;;Individual;13/09/3792;6880 ;18 years, 307 days
1695;LCM;100m backstroke;11;Men;06/04/1912;1:18.4;SCHIELE, Oskar;FRG;;Brussels;;Individual;14/04/3789;8392 ;22 years, 358 days
1696;LCM;100m backstroke;11;Men;29/04/1912;1:15.6;FAHR, Otto;FRG;;Magdeburg;;Individual;19/08/3792;7192 ;19 years, 254 days
1697;LCM;100m backstroke;11;Men;22/08/1920;1:14.8;KEALOHA, Warren;USA;;Detroit, Michigan;;Individual;03/03/1903;6382 ;17 years, 172 days
1698;LCM;100m backstroke;11;Men;17/10/1922;1:12.6;KEALOHA, Warren;USA;;Amsterdam;;Individual;03/03/1903;7168 ;19 years, 228 days
1699;LCM;100m backstroke;11;Men;13/04/1924;1:12.4;KEALOHA, Warren;USA;;Honolulu;;Individual;03/03/1903;7712 ;21 years, 41 days
1700;LCM;100m backstroke;11;Men;19/06/1926;1:11.4;KEALOHA, Warren;USA;;Berlin;;Individual;03/03/1903;8509 ;23 years, 108 days
1701;LCM;100m backstroke;11;Men;20/06/1926;1:11.2;LAUFER, Walter;USA;;Krefeld;;Individual;15/07/1906;7280 ;19 years, 340 days
1702;LCM;100m backstroke;11;Men;22/03/1927;1:10.2;HOUSE, P.A.;USA;;Breslau;;Individual;;;
1703;LCM;100m backstroke;11;Men;23/06/1927;1:09.0;KOJAC, George;USA;;Detroit, Michigan;;Individual;02/03/1910;6322 ;17 years, 113 days
1704;LCM;100m backstroke;11;Men;23/06/1928;1:08.2;KOJAC, George;USA;Olympic Games;Amsterdam;;Individual;02/03/1910;6688 ;18 years, 113 days
1705;LCM;100m backstroke;11;Men;23/07/1934;1:07.4;VANDE WEGHE, Albert;USA;;Honolulu;;Individual;28/07/1916;6569 ;17 years, 360 days
1706;LCM;100m backstroke;11;Men;20/10/1935;1:07.0;KIEFER, Adolph;USA;;Berlin;;Individual;27/06/1918;6324 ;17 years, 115 days
1707;LCM;100m backstroke;11;Men;22/10/1935;1:06.2;KIEFER, Adolph;USA;;Krefeld;;Individual;27/06/1918;6326 ;17 years, 117 days
1708;LCM;100m backstroke;11;Men;09/11/1935;1:04.9;KIEFER, Adolph;USA;;Breslau;;Individual;27/06/1918;6344 ;17 years, 135 days
1709;LCM;100m backstroke;11;Men;18/01/1936;1:04.8;KIEFER, Adolph;USA;;Detroit, Michigan;;Individual;27/06/1918;6414 ;17 years, 205 days
1710;LCM;100m backstroke;11;Men;23/06/1948;1:04.0;STACK, Allen;USA;;New Haven, Connecticut;;Individual;23/01/1928;7457 ;20 years, 152 days
1711;LCM;100m backstroke;11;Men;04/02/1949;1:03.6;STACK, Allen;USA;;New Haven, Connecticut;;Individual;23/01/1928;7683 ;21 years, 12 days
1712;LCM;100m backstroke;11;Men;26/12/1952;1:03.3;BOZON, Gilbert;FRA;;Troyes;;Individual;19/03/1935;6492 ;17 years, 282 days
1713;LCM;100m backstroke;11;Men;01/04/1954;1:02.8;OYAKAWA, Yoshinobu;JPN;;New Haven, Connecticut;;Individual;09/08/1933;7540 ;20 years, 235 days
1714;LCM;100m backstroke;11;Men;27/02/1955;1:02.1;BOZON, Gilbert;FRA;;Troyes;FRA;Individual;19/03/1935;7285 ;19 years, 345 days
1715;LCM;100m backstroke;11;Men;06/12/1956;1:02.2;THEILE, David;AUS;Olympic Games;Melbourne, Victoria;AUS;Individual;17/01/1938;6898 ;18 years, 324 days
1716;LCM;100m backstroke;11;Men;15/02/1958;1:01.5;MONCKTON, John;AUS;Australian Championships;Melbourne, Victoria;AUS;Individual;28/10/1938;7050 ;19 years, 110 days
1717;LCM;100m backstroke;11;Men;19/08/1961;1:01.3;BENNETT, Robert;USA;Men's NAAA Championships;Los Angeles, California;USA;Individual;23/05/1943;6663 ;18 years, 88 days
1718;LCM;100m backstroke;11;Men;11/08/1962;1:01.0;STOCK, Tom;USA;AAU Championships;Cuyahoga Falls, Ohio;USA;Individual;;;
1719;LCM;100m backstroke;11;Men;12/08/1962;1:00.9;STOCK, Tom;USA;AAU Championships;Cuyahoga Falls, Ohio;USA;Individual;;;
1720;LCM;100m backstroke;11;Men;28/08/1964;1:00.8;KUPPERS, Ernst-Joachim;FRG;;Dortmund;FRG;Individual;24/08/1942;8040 ;22 years, 4 days
1721;LCM;100m backstroke;11;Men;03/09/1964;1:00.0;MANN, Thompson;USA;;New York, New York;USA;Individual;01/12/1942;7947 ;21 years, 277 days
1722;LCM;100m backstroke;11;Men;16/10/1964;59.6;MANN, Thompson;USA;Olympic Games;Tokyo;JPN;Individual;01/12/1942;7990 ;21 years, 320 days
1723;LCM;100m backstroke;11;Men;28/08/1967;59.5;RUSSELL, Douglas Albert;USA;World University Games;Tokyo;JPN;Individual;20/02/1946;7859 ;21 years, 189 days
1724;LCM;100m backstroke;11;Men;28/08/1967;59.3;HICKCOX, Charles;USA;World University Games;Tokyo;JPN;Individual;06/02/1947;7508 ;20 years, 203 days
1725;LCM;100m backstroke;11;Men;31/08/1967;59.1;HICKCOX, Charles;USA;World University Games;Tokyo;JPN;Individual;06/02/1947;7511 ;20 years, 206 days
1726;LCM;100m backstroke;11;Men;21/09/1967;58.4;MATTHES, Roland;GDR;;Leipzig;GDR;Individual;17/11/1950;6152 ;16 years, 308 days
1727;LCM;100m backstroke;11;Men;26/10/1968;58.0;MATTHES, Roland;GDR;Olympic Games;Ciudad de M xico;MEX;Individual;17/11/1950;6553 ;17 years, 344 days
1728;LCM;100m backstroke;11;Men;23/08/1969;57.8;MATTHES, Roland;GDR;;W rzburg;FRG;Individual;17/11/1950;6854 ;18 years, 279 days
1729;LCM;100m backstroke;11;Men;15/04/1970;57.8;MATTHES, Roland;GDR;;Novosibirsk;URS;Individual;17/11/1950;7089 ;19 years, 149 days
1730;LCM;100m backstroke;11;Men;08/09/1970;56.9;MATTHES, Roland;GDR;European Championships;Barcelona;ESP;Individual;17/11/1950;7235 ;19 years, 295 days
1731;LCM;100m backstroke;11;Men;04/09/1971;56.7;MATTHES, Roland;GDR;USA v GDR Dual Meet;Leipzig;GDR;Individual;17/11/1950;7596 ;20 years, 291 days
1732;LCM;100m backstroke;11;Men;08/04/1972;56.3;MATTHES, Roland;GDR;;Moskva (Moscow);URS;Individual;17/11/1950;7813 ;21 years, 143 days
1733;LCM;100m backstroke;11;Men;04/09/1972;56.30;MATTHES, Roland;GDR;Olympic Games;M nchen, Bavaria;FRG;Individual;17/11/1950;7962 ;21 years, 292 days
1734;LCM;100m backstroke;11;Men;18/07/1976;56.19;NABER, John;USA;Olympic Games;Montr al, Qu bec;CAN;Individual;20/01/1956;7485 ;20 years, 180 days
1735;LCM;100m backstroke;11;Men;19/07/1976;55.49;NABER, John;USA;Olympic Games;Montr al, Qu bec;CAN;Individual;20/01/1956;7486 ;20 years, 181 days
1736;LCM;100m backstroke;11;Men;06/08/1983;55.44;CAREY, Rick;USA;USA Nationals;Clovis, California;USA;Individual;13/03/1963;7451 ;20 years, 146 days
1737;LCM;100m backstroke;11;Men;06/08/1983;55.38;CAREY, Rick;USA;USA Nationals;Clovis, California;USA;Individual;13/03/1963;7451 ;20 years, 146 days
1738;LCM;100m backstroke;11;Men;21/08/1983;55.19;CAREY, Rick;USA;Pan American Games;Caracas;VEN;Individual;13/03/1963;7466 ;20 years, 161 days
1739;LCM;100m backstroke;11;Men;15/03/1988;55.17;POLIANSKI, Igor;URS;;Tallinn;URS;Individual;20/03/1967;7666 ;20 years, 361 days
1740;LCM;100m backstroke;11;Men;16/03/1988;55.16;POLIANSKI, Igor;URS;;Tallinn;URS;Individual;20/03/1967;7667 ;20 years, 362 days
1741;LCM;100m backstroke;11;Men;16/07/1988;55.00;POLIANSKI, Igor;URS;;Moskva (Moscow);URS;Individual;20/03/1967;7789 ;21 years, 118 days
1742;LCM;100m backstroke;11;Men;12/08/1988;54.95;BERKOFF, David;USA;USA Olympic Trials;Austin, Texas;USA;Individual;30/11/1966;7926 ;21 years, 256 days
1743;LCM;100m backstroke;11;Men;12/08/1988;54.91;BERKOFF, David;USA;USA Olympic Trials;Austin, Texas;USA;Individual;30/11/1966;7926 ;21 years, 256 days
1744;LCM;100m backstroke;11;Men;24/09/1988;54.51;BERKOFF, David;USA;Olympic Games;Seoul;KOR;Individual;30/11/1966;7969 ;21 years, 299 days
1745;LCM;100m backstroke;11;Men;25/08/1991;53.93;ROUSE, Jeff;USA;Pan Pacific Championships;Edmonton, Alberta;CAN;Individual;06/12/1970;7567 ;20 years, 262 days
1746;LCM;100m backstroke;11;Men;31/07/1992;53.86;ROUSE, Jeff;USA;Olympic Games;Barcelona;ESP;Individual;06/12/1970;7908 ;21 years, 238 days
1747;LCM;100m backstroke;11;Men;24/08/1999;53.60;KRAYZELBURG, Lenny;USA;Pan Pacific Championships;Sydney, New South Wales;AUS;Individual;28/09/1975;8731 ;23 years, 330 days
1748;LCM;100m backstroke;11;Men;21/08/2004;53.45;PEIRSOL, Aaron;USA;Olympic Games;Athina;GRE;Individual;23/07/1983;7700 ;21 years, 29 days
1749;LCM;100m backstroke;11;Men;02/04/2005;53.17;PEIRSOL, Aaron;USA;;Indianapolis, Indiana;USA;Individual;23/07/1983;7924 ;21 years, 253 days
1750;LCM;100m backstroke;11;Men;27/03/2007;52.98;PEIRSOL, Aaron;USA;World Championships;Melbourne, Victoria;AUS;Individual;23/07/1983;8648 ;23 years, 247 days
1751;LCM;100m backstroke;11;Men;01/07/2008;52.89;PEIRSOL, Aaron;USA;USA Olympic Trials;Omaha, Nebraska;USA;Individual;23/07/1983;9110 ;24 years, 344 days
1752;LCM;100m backstroke;11;Men;12/08/2008;52.54;PEIRSOL, Aaron;USA;Olympic Games;Beijing;CHN;Individual;23/07/1983;9152 ;25 years, 20 days
